# GLoss,DLoss,KLDivergence,RevKLDivergence
8.7703e-01,1.4429e+00,2.0940e-01,2.0685e-01
9.4740e-01,1.5915e+00,1.2296e-01,1.3534e-01
8.3005e-01,1.4540e+00,1.2194e-01,1.3004e-01
8.5810e-01,1.4953e+00,1.3165e-01,1.3900e-01
8.4237e-01,1.4957e+00,1.0214e-01,1.0353e-01
8.6192e-01,1.5972e+00,1.5345e-01,1.7867e-01
7.9940e-01,1.7888e+00,1.2248e-01,1.5614e-01
9.8326e-01,1.5075e+00,9.4127e-02,9.3979e-02
9.3262e-01,1.5345e+00,1.5883e-01,1.9806e-01
8.4392e-01,1.6482e+00,6.7065e-02,7.2529e-02
9.3313e-01,1.6945e+00,1.5786e-01,1.7133e-01
8.9050e-01,1.3882e+00,1.7253e-01,1.9107e-01
7.9697e-01,1.4898e+00,1.2579e-01,1.3477e-01
8.7789e-01,1.5946e+00,2.3424e-01,2.5506e-01
8.0830e-01,1.7517e+00,1.6318e-01,1.6190e-01
8.3764e-01,1.7133e+00,1.3418e-01,1.2734e-01
8.5823e-01,1.6533e+00,1.8059e-01,1.8393e-01
8.6614e-01,1.5995e+00,1.1628e-01,1.1898e-01
8.7702e-01,1.4733e+00,9.8278e-02,9.7229e-02
8.0774e-01,1.6610e+00,1.7683e-01,1.6495e-01
9.5116e-01,1.9038e+00,1.6299e-01,1.6316e-01
8.2125e-01,1.6572e+00,1.0863e-01,1.0850e-01
8.6446e-01,1.6375e+00,1.7223e-01,1.8002e-01
8.4381e-01,1.6865e+00,7.9623e-02,8.2143e-02
8.4092e-01,1.7159e+00,1.8302e-01,1.6389e-01
8.1356e-01,1.4786e+00,1.6763e-01,1.6038e-01
9.2318e-01,1.4793e+00,1.0213e-01,1.0826e-01
8.0118e-01,1.5300e+00,2.0382e-01,2.2676e-01
7.5511e-01,1.6379e+00,2.1560e-01,2.2113e-01
8.1318e-01,1.4252e+00,1.5578e-01,1.7231e-01
8.6490e-01,1.5140e+00,1.7309e-01,1.7433e-01
8.9155e-01,1.6414e+00,1.2268e-01,1.3117e-01
