# GLoss,DLoss
7.3437e-01,1.3843e+00
9.7421e-01,1.5812e+00
9.6452e-01,1.8345e+00
9.5122e-01,1.7105e+00
8.8379e-01,1.4433e+00
1.0378e+00,1.5061e+00
9.9814e-01,1.5552e+00
9.2669e-01,1.6162e+00
8.8376e-01,1.6191e+00
8.2061e-01,1.6841e+00
