# GLoss,DLoss,KLDivergence,RevKLDivergence
1.0100e+00,1.3543e+00,1.4120e-01,1.7095e-01
1.0031e+00,1.3320e+00,1.8609e-01,2.1423e-01
9.6733e-01,1.2747e+00,1.0595e-01,1.4022e-01
9.9753e-01,1.2232e+00,1.3879e-01,1.7896e-01
1.0667e+00,1.3256e+00,1.7213e-01,2.3864e-01
1.0203e+00,1.1979e+00,8.5147e-02,1.1041e-01
1.1592e+00,1.1457e+00,7.2659e-02,7.5480e-02
9.9037e-01,1.1361e+00,9.2805e-02,1.0212e-01
1.1747e+00,1.1406e+00,1.1666e-01,1.2939e-01
1.1549e+00,1.0982e+00,8.1959e-02,9.2051e-02
1.0508e+00,1.1632e+00,1.0770e-01,1.0904e-01
1.1208e+00,1.1803e+00,8.9211e-02,9.6842e-02
1.1161e+00,1.1562e+00,4.7996e-02,5.3184e-02
1.0248e+00,1.2068e+00,9.6470e-02,1.1966e-01
1.1307e+00,1.0553e+00,5.3427e-02,5.3288e-02
1.0942e+00,1.1960e+00,6.7240e-02,7.1453e-02
1.1332e+00,1.0283e+00,4.5300e-02,4.8040e-02
1.2036e+00,1.1017e+00,6.4004e-02,7.5241e-02
1.1530e+00,1.1796e+00,5.4296e-02,5.8362e-02
1.1311e+00,1.0825e+00,5.2269e-02,4.7430e-02
1.1415e+00,1.1594e+00,5.8450e-02,6.3106e-02
1.0387e+00,1.1123e+00,6.3315e-02,6.5203e-02
1.0698e+00,1.1081e+00,1.8082e-02,1.8837e-02
1.1673e+00,1.1320e+00,4.6677e-02,4.4496e-02
1.0093e+00,1.1660e+00,2.5075e-02,2.5671e-02
1.2435e+00,1.1253e+00,4.0464e-02,4.2463e-02
1.1085e+00,1.1283e+00,6.6769e-02,6.5804e-02
1.2025e+00,1.1159e+00,2.6283e-02,2.7834e-02
1.1550e+00,1.0487e+00,2.3345e-02,2.3627e-02
1.1646e+00,1.2285e+00,7.9533e-02,8.0402e-02
1.1201e+00,9.5291e-01,3.4493e-02,3.5468e-02
1.2040e+00,1.1136e+00,2.4381e-02,2.4609e-02
1.0823e+00,1.0936e+00,2.5494e-02,2.6060e-02
1.1355e+00,1.0847e+00,3.4182e-02,3.7117e-02
9.9489e-01,1.1604e+00,3.5774e-02,3.5455e-02
1.0316e+00,1.1499e+00,7.9476e-02,8.3476e-02
1.1138e+00,1.0705e+00,2.3185e-02,2.3869e-02
1.1244e+00,1.0126e+00,3.9550e-02,4.0995e-02
1.1308e+00,1.2559e+00,3.8412e-02,4.1825e-02
1.0751e+00,1.1907e+00,3.2176e-02,3.4002e-02
1.0760e+00,1.1827e+00,5.3059e-02,5.4414e-02
1.0434e+00,1.0820e+00,5.4349e-02,5.4492e-02
1.0997e+00,1.0350e+00,6.0631e-02,7.5738e-02
1.0198e+00,1.0843e+00,2.9255e-02,2.9799e-02
1.0651e+00,1.1101e+00,1.0282e-01,9.8017e-02
1.1368e+00,1.2219e+00,3.5210e-02,3.5814e-02
1.0365e+00,1.1377e+00,5.0251e-02,4.8720e-02
1.1559e+00,1.1441e+00,8.3877e-02,7.9346e-02
1.1290e+00,1.1077e+00,5.0132e-02,5.3972e-02
1.0901e+00,1.1116e+00,4.3732e-02,4.4690e-02
1.0716e+00,1.1233e+00,4.2375e-02,3.9707e-02
1.1122e+00,1.1404e+00,4.9078e-02,5.3316e-02
1.0133e+00,1.1449e+00,4.8591e-02,4.5436e-02
1.0769e+00,1.2885e+00,4.4851e-02,4.5107e-02
1.0391e+00,1.1240e+00,3.6350e-02,3.9043e-02
1.0940e+00,1.1511e+00,6.0910e-02,6.3744e-02
1.0316e+00,1.2501e+00,3.6986e-02,4.0137e-02
1.0311e+00,1.2382e+00,6.1766e-02,6.5339e-02
1.0719e+00,1.1711e+00,3.3248e-02,3.5564e-02
1.0107e+00,1.2092e+00,8.8799e-02,8.1411e-02
9.8250e-01,1.0905e+00,1.7805e-02,1.8755e-02
1.0271e+00,1.1280e+00,9.4737e-02,1.0022e-01
1.0691e+00,1.0896e+00,2.4046e-02,2.3526e-02
1.0383e+00,1.2452e+00,4.7805e-02,5.3025e-02
1.0467e+00,1.1099e+00,4.1570e-02,4.4002e-02
9.6686e-01,1.1911e+00,8.2110e-02,9.3500e-02
1.0660e+00,1.2465e+00,8.7206e-02,9.0700e-02
1.0196e+00,1.3146e+00,6.7486e-02,7.8930e-02
1.0632e+00,1.2273e+00,3.8132e-02,3.7777e-02
9.1208e-01,1.1946e+00,6.2289e-02,6.3633e-02
1.0025e+00,1.0716e+00,7.3431e-02,7.7914e-02
9.5912e-01,1.4016e+00,4.5996e-02,4.5475e-02
1.0018e+00,1.3560e+00,3.1681e-02,3.2204e-02
1.0126e+00,1.2791e+00,4.8585e-02,5.0098e-02
1.0011e+00,1.1415e+00,8.7804e-02,8.1073e-02
